Game,Score,Highest Tile,Duration (s)
1,55388,4096,291.08
2,21752,2048,18.87
3,35692,2048,31.13
4,17044,1024,17.20
5,15060,1024,15.07
6,36604,2048,32.41
7,46596,4096,34.94
8,31440,2048,1065.20
9,71896,4096,505.15
10,27256,2048,25.07
11,16388,1024,17.12
12,16280,1024,17.19
13,36920,2048,33.73
14,58656,4096,46.88
15,27908,2048,25.63
16,34904,2048,31.52
17,16804,1024,17.47
18,27256,2048,24.72
19,16364,1024,17.12
20,39668,2048,35.91
21,16596,1024,17.25
22,60616,4096,49.25
23,25556,2048,22.70
24,27300,2048,24.48
25,10748,1024,10.84
26,16268,1024,16.79
27,34988,2048,30.70
28,35668,2048,32.41
29,36256,2048,33.26
30,35884,2048,32.50
31,28048,2048,26.32
32,27304,2048,24.99
33,36576,2048,33.31
34,30864,2048,27.45
35,15320,1024,15.45
36,39252,2048,35.87
37,36912,2048,34.06
38,35892,2048,32.55
39,14416,1024,14.66
40,10576,1024,10.79
41,18172,1024,19.33
42,37424,2048,34.19
43,22872,2048,20.43
44,32524,2048,29.40
45,34120,2048,30.20
46,14460,1024,14.83
47,32492,2048,29.29
48,27636,2048,25.74
49,38720,2048,35.74
50,71344,4096,57.19
51,69044,4096,54.23
52,34104,2048,31.30
53,12320,1024,13.14
54,36144,2048,32.46
55,34460,2048,308.34
